Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.01,3.100001,70,23.9067538,0.06798,228.2926
0.01,3.110001,70,24.2745496,0.07536,231.805
0.01,3.120001,70,23.416359,0.1002,223.6098
0.01,3.130001,70,23.2937606,0.0774,222.439
0.01,3.140001,70,23.9067526,0.06976,228.2926
0.01,3.150001,70,24.0293532,0.06752,229.4634
0.01,3.160001,70,23.2937596,0.06294,222.439
0.01,3.170001,70,24.0293516,0.06102,229.4634
0.01,3.180001,70,24.5197472,0.0685,234.1462
0.01,3.190001,70,23.2937598,0.07786,222.439
0.01,3.200001,70,23.2937596,0.06592,222.439
0.01,3.210001,70,24.2745504,0.0668,231.8048
0.01,3.220001,70,23.048562,0.08106,220.0974
0.01,3.230001,70,24.3971484,0.0615,232.9756
0.01,3.240001,70,23.661557,0.07236,225.9514
0.01,3.250001,70,23.9067528,0.05626,228.2926
0.01,3.260001,70,23.6615566,0.06898,225.9512
0.01,3.270001,70,24.1519508,0.05822,230.6342
0.01,3.280001,70,23.0485628,0.0652,220.0976
0.01,3.290001,70,24.519747,0.08352,234.1462
0.01,3.300001,70,23.4163584,0.09178,223.6098
0.01,3.310001,70,23.7841544,0.07492,227.122
0.01,3.320001,70,23.29376,0.07014,222.439
0.01,3.330001,70,23.906753,0.0729,228.2928
0.01,3.340001,70,23.906754,0.0759,228.2928
0.01,3.350001,70,24.2745494,0.05928,231.8048
0.01,3.360001,70,23.6615556,0.08742,225.9512
0.01,3.370001,70,24.3971486,0.07284,232.9756
0.01,3.380001,70,23.538957,0.07498,224.7804
0.01,3.390001,70,23.5389566,0.06138,224.7804
0.01,3.400001,70,23.5389576,0.0798,224.7804
0.01,3.410001,70,24.15195,0.07722,230.6342
0.01,3.420001,70,23.6615558,0.05778,225.9512
0.01,3.430001,70,24.27455,0.07446,231.8048
0.01,3.440001,70,23.1711606,0.07284,221.2682
0.01,3.450001,70,23.6615556,0.08776,225.9512
0.01,3.460001,70,24.0293526,0.06818,229.4634
0.01,3.470001,70,24.274549,0.0775,231.8048
0.01,3.480001,70,23.416359,0.09166,223.6098
0.01,3.490001,70,23.1711618,0.06998,221.2684
0.01,3.500001,70,23.9067536,0.07684,228.2928
0.01,3.510001,70,24.1519512,0.06626,230.634
0.01,3.520001,70,23.7841542,0.07284,227.122
0.01,3.530001,70,24.1519516,0.06288,230.6342
0.01,3.540001,70,23.661556,0.06102,225.9512
0.01,3.550001,70,23.538957,0.06372,224.7804
0.01,3.560001,70,23.9067542,0.0595,228.2928
